Numero di conferimento;Materiale;Specie;Prova - Singola;Tecnica;Nr. di esami programmati;Data del prelievo;Data di conferimento/accettazione;Data di registrazione;Data Carico Analisi;Data Inizio Analisi;Data Fine Analisi;Data ultimo Rdp emesso
28721;LATTE;BOVINO;BHV1/Rinotracheite Infettiva Bovina: Ab x gE del virus nel latte;ELISA competitiva (kit IDEXX );1;31/01/2008 00.00.00;01/02/2008 00.00.00;04/02/2008 00.00.00;;07/02/2008 00.00.00;08/02/2008 00.00.00;12/02/2008 00.00.00
39685;LATTE;BOVINO;BHV1/Rinotracheite Infettiva Bovina: Ab x gE del virus nel latte;ELISA competitiva (kit IDEXX );1;11/02/2008 00.00.00;12/02/2008 00.00.00;15/02/2008 00.00.00;;18/02/2008 00.00.00;19/02/2008 00.00.00;22/02/2008 00.00.00
39688;LATTE;BOVINO;BHV1/Rinotracheite Infettiva Bovina: Ab x gE del virus nel latte;ELISA competitiva (kit IDEXX );1;12/02/2008 00.00.00;12/02/2008 00.00.00;15/02/2008 00.00.00;;18/02/2008 00.00.00;19/02/2008 00.00.00;22/02/2008 00.00.00
39692;LATTE;BOVINO;BHV1/Rinotracheite Infettiva Bovina: Ab x gE del virus nel latte;ELISA competitiva (kit IDEXX );1;12/02/2008 00.00.00;12/02/2008 00.00.00;15/02/2008 00.00.00;;18/02/2008 00.00.00;19/02/2008 00.00.00;22/02/2008 00.00.00
39696;LATTE;BOVINO;BHV1/Rinotracheite Infettiva Bovina: Ab x gE del virus nel latte;ELISA competitiva (kit IDEXX );1;11/02/2008 00.00.00;12/02/2008 00.00.00;15/02/2008 00.00.00;;18/02/2008 00.00.00;19/02/2008 00.00.00;22/02/2008 00.00.00
41693;LATTE;BOVINO;BHV1/Rinotracheite Infettiva Bovina: Ab x gE del virus nel latte;ELISA competitiva (kit IDEXX );1;14/02/2008 00.00.00;15/02/2008 00.00.00;19/02/2008 00.00.00;;05/03/2008 00.00.00;05/03/2008 00.00.00;06/03/2008 00.00.00
41696;LATTE;BOVINO;BHV1/Rinotracheite Infettiva Bovina: Ab x gE del virus nel latte;ELISA competitiva (kit IDEXX );1;14/02/2008 00.00.00;15/02/2008 00.00.00;19/02/2008 00.00.00;;05/03/2008 00.00.00;05/03/2008 00.00.00;06/03/2008 00.00.00
41700;LATTE;BOVINO;BHV1/Rinotracheite Infettiva Bovina: Ab x gE del virus nel latte;ELISA competitiva (kit IDEXX );1;14/02/2008 00.00.00;15/02/2008 00.00.00;19/02/2008 00.00.00;;05/03/2008 00.00.00;05/03/2008 00.00.00;06/03/2008 00.00.00
41702;LATTE;BOVINO;BHV1/Rinotracheite Infettiva Bovina: Ab x gE del virus nel latte;ELISA competitiva (kit IDEXX );1;14/02/2008 00.00.00;15/02/2008 00.00.00;19/02/2008 00.00.00;;05/03/2008 00.00.00;05/03/2008 00.00.00;06/03/2008 00.00.00
41706;LATTE;BOVINO;BHV1/Rinotracheite Infettiva Bovina: Ab x gE del virus nel latte;ELISA competitiva (kit IDEXX );1;14/02/2008 00.00.00;15/02/2008 00.00.00;19/02/2008 00.00.00;;05/03/2008 00.00.00;05/03/2008 00.00.00;06/03/2008 00.00.00
41739;LATTE;BOVINO;BHV1/Rinotracheite Infettiva Bovina: Ab x gE del virus nel latte;ELISA competitiva (kit IDEXX );1;14/02/2008 00.00.00;15/02/2008 00.00.00;19/02/2008 00.00.00;;05/03/2008 00.00.00;05/03/2008 00.00.00;06/03/2008 00.00.00
41735;LATTE;BOVINO;BHV1/Rinotracheite Infettiva Bovina: Ab x gE del virus nel latte;ELISA competitiva (kit IDEXX );1;14/02/2008 00.00.00;15/02/2008 00.00.00;19/02/2008 00.00.00;;05/03/2008 00.00.00;05/03/2008 00.00.00;06/03/2008 00.00.00
41744;LATTE;BOVINO;BHV1/Rinotracheite Infettiva Bovina: Ab x gE del virus nel latte;ELISA competitiva (kit IDEXX );1;14/02/2008 00.00.00;15/02/2008 00.00.00;19/02/2008 00.00.00;;05/03/2008 00.00.00;05/03/2008 00.00.00;06/03/2008 00.00.00
41764;LATTE;BOVINO;BHV1/Rinotracheite Infettiva Bovina: Ab x gE del virus nel latte;ELISA competitiva (kit IDEXX );1;14/02/2008 00.00.00;15/02/2008 00.00.00;19/02/2008 00.00.00;;05/03/2008 00.00.00;05/03/2008 00.00.00;06/03/2008 00.00.00
41770;LATTE;BOVINO;BHV1/Rinotracheite Infettiva Bovina: Ab x gE del virus nel latte;ELISA competitiva (kit IDEXX );1;13/02/2008 00.00.00;15/02/2008 00.00.00;19/02/2008 00.00.00;;05/03/2008 00.00.00;05/03/2008 00.00.00;06/03/2008 00.00.00
41775;LATTE;BOVINO;BHV1/Rinotracheite Infettiva Bovina: Ab x gE del virus nel latte;ELISA competitiva (kit IDEXX );1;15/02/2008 00.00.00;15/02/2008 00.00.00;19/02/2008 00.00.00;;05/03/2008 00.00.00;05/03/2008 00.00.00;06/03/2008 00.00.00
41813;LATTE;BOVINO;BHV1/Rinotracheite Infettiva Bovina: Ab x gE del virus nel latte;ELISA competitiva (kit IDEXX );1;14/02/2008 00.00.00;15/02/2008 00.00.00;19/02/2008 00.00.00;;05/03/2008 00.00.00;05/03/2008 00.00.00;06/03/2008 00.00.00
41817;LATTE;BOVINO;BHV1/Rinotracheite Infettiva Bovina: Ab x gE del virus nel latte;ELISA competitiva (kit IDEXX );1;14/02/2008 00.00.00;15/02/2008 00.00.00;19/02/2008 00.00.00;;05/03/2008 00.00.00;05/03/2008 00.00.00;06/03/2008 00.00.00
41823;LATTE;BOVINO;BHV1/Rinotracheite Infettiva Bovina: Ab x gE del virus nel latte;ELISA competitiva (kit IDEXX );1;14/02/2008 00.00.00;15/02/2008 00.00.00;19/02/2008 00.00.00;;05/03/2008 00.00.00;05/03/2008 00.00.00;06/03/2008 00.00.00
41827;LATTE;BOVINO;BHV1/Rinotracheite Infettiva Bovina: Ab x gE del virus nel latte;ELISA competitiva (kit IDEXX );1;14/02/2008 00.00.00;15/02/2008 00.00.00;19/02/2008 00.00.00;;05/03/2008 00.00.00;05/03/2008 00.00.00;06/03/2008 00.00.00
41830;LATTE;BOVINO;BHV1/Rinotracheite Infettiva Bovina: Ab x gE del virus nel latte;ELISA competitiva (kit IDEXX );1;14/02/2008 00.00.00;15/02/2008 00.00.00;19/02/2008 00.00.00;;05/03/2008 00.00.00;05/03/2008 00.00.00;06/03/2008 00.00.00
41833;LATTE;BOVINO;BHV1/Rinotracheite Infettiva Bovina: Ab x gE del virus nel latte;ELISA competitiva (kit IDEXX );1;14/02/2008 00.00.00;15/02/2008 00.00.00;19/02/2008 00.00.00;;05/03/2008 00.00.00;05/03/2008 00.00.00;06/03/2008 00.00.00
41835;LATTE;BOVINO;BHV1/Rinotracheite Infettiva Bovina: Ab x gE del virus nel latte;ELISA competitiva (kit IDEXX );1;14/02/2008 00.00.00;15/02/2008 00.00.00;19/02/2008 00.00.00;;05/03/2008 00.00.00;05/03/2008 00.00.00;06/03/2008 00.00.00
41839;LATTE;BOVINO;BHV1/Rinotracheite Infettiva Bovina: Ab x gE del virus nel latte;ELISA competitiva (kit IDEXX );1;14/02/2008 00.00.00;15/02/2008 00.00.00;19/02/2008 00.00.00;;05/03/2008 00.00.00;05/03/2008 00.00.00;06/03/2008 00.00.00
41842;LATTE;BOVINO;BHV1/Rinotracheite Infettiva Bovina: Ab x gE del virus nel latte;ELISA competitiva (kit IDEXX );1;14/02/2008 00.00.00;15/02/2008 00.00.00;19/02/2008 00.00.00;;05/03/2008 00.00.00;05/03/2008 00.00.00;06/03/2008 00.00.00
41845;LATTE;BOVINO;BHV1/Rinotracheite Infettiva Bovina: Ab x gE del virus nel latte;ELISA competitiva (kit IDEXX );1;14/02/2008 00.00.00;15/02/2008 00.00.00;19/02/2008 00.00.00;;05/03/2008 00.00.00;05/03/2008 00.00.00;06/03/2008 00.00.00
41847;LATTE;BOVINO;BHV1/Rinotracheite Infettiva Bovina: Ab x gE del virus nel latte;ELISA competitiva (kit IDEXX );1;14/02/2008 00.00.00;15/02/2008 00.00.00;19/02/2008 00.00.00;;05/03/2008 00.00.00;05/03/2008 00.00.00;06/03/2008 00.00.00
41852;LATTE;BOVINO;BHV1/Rinotracheite Infettiva Bovina: Ab x gE del virus nel latte;ELISA competitiva (kit IDEXX );1;14/02/2008 00.00.00;15/02/2008 00.00.00;19/02/2008 00.00.00;;05/03/2008 00.00.00;05/03/2008 00.00.00;06/03/2008 00.00.00
41855;LATTE;BOVINO;BHV1/Rinotracheite Infettiva Bovina: Ab x gE del virus nel latte;ELISA competitiva (kit IDEXX );1;14/02/2008 00.00.00;15/02/2008 00.00.00;19/02/2008 00.00.00;;05/03/2008 00.00.00;05/03/2008 00.00.00;06/03/2008 00.00.00
41857;LATTE;BOVINO;BHV1/Rinotracheite Infettiva Bovina: Ab x gE del virus nel latte;ELISA competitiva (kit IDEXX );1;14/02/2008 00.00.00;15/02/2008 00.00.00;19/02/2008 00.00.00;;05/03/2008 00.00.00;05/03/2008 00.00.00;06/03/2008 00.00.00
41860;LATTE;BOVINO;BHV1/Rinotracheite Infettiva Bovina: Ab x gE del virus nel latte;ELISA competitiva (kit IDEXX );1;14/02/2008 00.00.00;15/02/2008 00.00.00;19/02/2008 00.00.00;;05/03/2008 00.00.00;05/03/2008 00.00.00;06/03/2008 00.00.00
41864;LATTE;BOVINO;BHV1/Rinotracheite Infettiva Bovina: Ab x gE del virus nel latte;ELISA competitiva (kit IDEXX );1;14/02/2008 00.00.00;15/02/2008 00.00.00;19/02/2008 00.00.00;;05/03/2008 00.00.00;05/03/2008 00.00.00;06/03/2008 00.00.00
41869;LATTE;BOVINO;BHV1/Rinotracheite Infettiva Bovina: Ab x gE del virus nel latte;ELISA competitiva (kit IDEXX );1;14/02/2008 00.00.00;15/02/2008 00.00.00;19/02/2008 00.00.00;;05/03/2008 00.00.00;05/03/2008 00.00.00;06/03/2008 00.00.00
50916;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;3;26/02/2008 00.00.00;27/02/2008 00.00.00;28/02/2008 00.00.00;;04/03/2008 00.00.00;04/03/2008 00.00.00;12/03/2008 00.00.00
50923;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;2;22/02/2008 00.00.00;27/02/2008 00.00.00;28/02/2008 00.00.00;;04/03/2008 00.00.00;04/03/2008 00.00.00;12/03/2008 00.00.00
50929;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;1;26/02/2008 00.00.00;27/02/2008 00.00.00;28/02/2008 00.00.00;;04/03/2008 00.00.00;04/03/2008 00.00.00;12/03/2008 00.00.00
50944;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;1;27/02/2008 00.00.00;27/02/2008 00.00.00;28/02/2008 00.00.00;;04/03/2008 00.00.00;04/03/2008 00.00.00;12/03/2008 00.00.00
51060;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;6;26/02/2008 00.00.00;27/02/2008 00.00.00;28/02/2008 00.00.00;;04/03/2008 00.00.00;04/03/2008 00.00.00;12/03/2008 00.00.00
51051;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;2;26/02/2008 00.00.00;27/02/2008 00.00.00;28/02/2008 00.00.00;;04/03/2008 00.00.00;04/03/2008 00.00.00;12/03/2008 00.00.00
51085;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;26;25/02/2008 00.00.00;27/02/2008 00.00.00;28/02/2008 00.00.00;;04/03/2008 00.00.00;04/03/2008 00.00.00;12/03/2008 00.00.00
51088;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;14;25/02/2008 00.00.00;27/02/2008 00.00.00;28/02/2008 00.00.00;;04/03/2008 00.00.00;04/03/2008 00.00.00;12/03/2008 00.00.00
5885;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;2;07/01/2008 00.00.00;08/01/2008 00.00.00;09/01/2008 00.00.00;;10/01/2008 00.00.00;10/01/2008 00.00.00;14/01/2008 00.00.00
5895;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;7;07/01/2008 00.00.00;08/01/2008 00.00.00;09/01/2008 00.00.00;;10/01/2008 00.00.00;10/01/2008 00.00.00;14/01/2008 00.00.00
5906;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;2;04/01/2008 00.00.00;08/01/2008 00.00.00;09/01/2008 00.00.00;;10/01/2008 00.00.00;10/01/2008 00.00.00;14/01/2008 00.00.00
6008;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;1;31/12/2007 00.00.00;08/01/2008 00.00.00;09/01/2008 00.00.00;;10/01/2008 00.00.00;10/01/2008 00.00.00;14/01/2008 00.00.00
6009;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;10;07/01/2008 00.00.00;08/01/2008 00.00.00;09/01/2008 00.00.00;;10/01/2008 00.00.00;10/01/2008 00.00.00;17/01/2008 00.00.00
6010;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;6;07/01/2008 00.00.00;08/01/2008 00.00.00;09/01/2008 00.00.00;;10/01/2008 00.00.00;10/01/2008 00.00.00;14/01/2008 00.00.00
6017;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;42;07/01/2008 00.00.00;08/01/2008 00.00.00;09/01/2008 00.00.00;;10/01/2008 00.00.00;10/01/2008 00.00.00;14/01/2008 00.00.00
6022;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;1;08/01/2008 00.00.00;08/01/2008 00.00.00;09/01/2008 00.00.00;;10/01/2008 00.00.00;10/01/2008 00.00.00;14/01/2008 00.00.00
2149;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;1;24/12/2007 00.00.00;02/01/2008 00.00.00;04/01/2008 00.00.00;;08/01/2008 00.00.00;08/01/2008 00.00.00;10/01/2008 00.00.00
2163;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;1;28/12/2007 00.00.00;02/01/2008 00.00.00;04/01/2008 00.00.00;;08/01/2008 00.00.00;08/01/2008 00.00.00;10/01/2008 00.00.00
7069;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;5;09/01/2008 00.00.00;09/01/2008 00.00.00;10/01/2008 00.00.00;;15/01/2008 00.00.00;15/01/2008 00.00.00;16/01/2008 00.00.00
7072;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;6;08/01/2008 00.00.00;09/01/2008 00.00.00;10/01/2008 00.00.00;;15/01/2008 00.00.00;15/01/2008 00.00.00;16/01/2008 00.00.00
4907;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;1;08/01/2008 00.00.00;08/01/2008 00.00.00;08/01/2008 00.00.00;;10/01/2008 00.00.00;10/01/2008 00.00.00;14/01/2008 00.00.00
39927;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;48;11/02/2008 00.00.00;15/02/2008 00.00.00;18/02/2008 00.00.00;;19/02/2008 00.00.00;19/02/2008 00.00.00;22/02/2008 00.00.00
39936;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;6;12/02/2008 00.00.00;15/02/2008 00.00.00;18/02/2008 00.00.00;;19/02/2008 00.00.00;19/02/2008 00.00.00;22/02/2008 00.00.00
39939;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;8;12/02/2008 00.00.00;15/02/2008 00.00.00;18/02/2008 00.00.00;;19/02/2008 00.00.00;19/02/2008 00.00.00;22/02/2008 00.00.00
39950;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;9;12/02/2008 00.00.00;15/02/2008 00.00.00;18/02/2008 00.00.00;;19/02/2008 00.00.00;19/02/2008 00.00.00;22/02/2008 00.00.00
39963;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;2;12/02/2008 00.00.00;15/02/2008 00.00.00;18/02/2008 00.00.00;;19/02/2008 00.00.00;19/02/2008 00.00.00;22/02/2008 00.00.00
39965;SANGUE;BOVINO DA CARNE;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;3;13/02/2008 00.00.00;15/02/2008 00.00.00;18/02/2008 00.00.00;;19/02/2008 00.00.00;19/02/2008 00.00.00;22/02/2008 00.00.00
39979;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;27;12/02/2008 00.00.00;15/02/2008 00.00.00;18/02/2008 00.00.00;;19/02/2008 00.00.00;19/02/2008 00.00.00;22/02/2008 00.00.00
40039;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;3;13/02/2008 00.00.00;15/02/2008 00.00.00;18/02/2008 00.00.00;;19/02/2008 00.00.00;19/02/2008 00.00.00;22/02/2008 00.00.00
40067;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;10;13/02/2008 00.00.00;15/02/2008 00.00.00;18/02/2008 00.00.00;;19/02/2008 00.00.00;19/02/2008 00.00.00;22/02/2008 00.00.00
40083;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;1;15/02/2008 00.00.00;16/02/2008 00.00.00;18/02/2008 00.00.00;;19/02/2008 00.00.00;19/02/2008 00.00.00;22/02/2008 00.00.00
40143;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;2;13/02/2008 00.00.00;15/02/2008 00.00.00;18/02/2008 00.00.00;;19/02/2008 00.00.00;19/02/2008 00.00.00;22/02/2008 00.00.00
42465;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;9;18/02/2008 00.00.00;19/02/2008 00.00.00;19/02/2008 00.00.00;;21/02/2008 00.00.00;21/02/2008 00.00.00;27/02/2008 00.00.00
42450;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;65;18/02/2008 00.00.00;19/02/2008 00.00.00;19/02/2008 00.00.00;;21/02/2008 00.00.00;21/02/2008 00.00.00;27/02/2008 00.00.00
42511;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;1;18/02/2008 00.00.00;19/02/2008 00.00.00;19/02/2008 00.00.00;;21/02/2008 00.00.00;21/02/2008 00.00.00;27/02/2008 00.00.00
42517;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;1;15/02/2008 00.00.00;19/02/2008 00.00.00;19/02/2008 00.00.00;;21/02/2008 00.00.00;21/02/2008 00.00.00;27/02/2008 00.00.00
42522;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;2;18/02/2008 00.00.00;19/02/2008 00.00.00;19/02/2008 00.00.00;;21/02/2008 00.00.00;21/02/2008 00.00.00;27/02/2008 00.00.00
42529;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;60;15/02/2008 00.00.00;19/02/2008 00.00.00;19/02/2008 00.00.00;;21/02/2008 00.00.00;21/02/2008 00.00.00;04/03/2008 00.00.00
5916;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;26;07/01/2008 00.00.00;08/01/2008 00.00.00;09/01/2008 00.00.00;;10/01/2008 00.00.00;10/01/2008 00.00.00;14/01/2008 00.00.00
5924;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;3;08/01/2008 00.00.00;08/01/2008 00.00.00;09/01/2008 00.00.00;;10/01/2008 00.00.00;10/01/2008 00.00.00;14/01/2008 00.00.00
5934;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;3;07/01/2008 00.00.00;08/01/2008 00.00.00;09/01/2008 00.00.00;;10/01/2008 00.00.00;10/01/2008 00.00.00;21/01/2008 00.00.00
5937;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;1;07/01/2008 00.00.00;08/01/2008 00.00.00;09/01/2008 00.00.00;;10/01/2008 00.00.00;10/01/2008 00.00.00;14/01/2008 00.00.00
5943;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;5;07/01/2008 00.00.00;08/01/2008 00.00.00;09/01/2008 00.00.00;;10/01/2008 00.00.00;10/01/2008 00.00.00;14/01/2008 00.00.00
5951;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;1;03/01/2008 00.00.00;08/01/2008 00.00.00;09/01/2008 00.00.00;;10/01/2008 00.00.00;10/01/2008 00.00.00;14/01/2008 00.00.00
7075;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;2;08/01/2008 00.00.00;09/01/2008 00.00.00;10/01/2008 00.00.00;;15/01/2008 00.00.00;15/01/2008 00.00.00;16/01/2008 00.00.00
7087;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;43;08/01/2008 00.00.00;09/01/2008 00.00.00;10/01/2008 00.00.00;;15/01/2008 00.00.00;15/01/2008 00.00.00;16/01/2008 00.00.00
8874;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;153;09/01/2008 00.00.00;11/01/2008 00.00.00;11/01/2008 00.00.00;;15/01/2008 00.00.00;15/01/2008 00.00.00;18/01/2008 00.00.00
8880;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;3;10/01/2008 00.00.00;11/01/2008 00.00.00;11/01/2008 00.00.00;;15/01/2008 00.00.00;15/01/2008 00.00.00;18/01/2008 00.00.00
8882;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;21;11/01/2008 00.00.00;11/01/2008 00.00.00;11/01/2008 00.00.00;;15/01/2008 00.00.00;15/01/2008 00.00.00;18/01/2008 00.00.00
8888;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;61;10/01/2008 00.00.00;11/01/2008 00.00.00;11/01/2008 00.00.00;;15/01/2008 00.00.00;15/01/2008 00.00.00;18/01/2008 00.00.00
8904;SANGUE;BOVINO DA CARNE;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;2;09/01/2008 00.00.00;11/01/2008 00.00.00;11/01/2008 00.00.00;;15/01/2008 00.00.00;15/01/2008 00.00.00;18/01/2008 00.00.00
8907;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;2;09/01/2008 00.00.00;11/01/2008 00.00.00;11/01/2008 00.00.00;;15/01/2008 00.00.00;15/01/2008 00.00.00;18/01/2008 00.00.00
8909;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;10;11/01/2008 00.00.00;11/01/2008 00.00.00;11/01/2008 00.00.00;;15/01/2008 00.00.00;15/01/2008 00.00.00;18/01/2008 00.00.00
8914;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;2;11/01/2008 00.00.00;11/01/2008 00.00.00;11/01/2008 00.00.00;;15/01/2008 00.00.00;15/01/2008 00.00.00;18/01/2008 00.00.00
8917;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;4;09/01/2008 00.00.00;11/01/2008 00.00.00;11/01/2008 00.00.00;;15/01/2008 00.00.00;15/01/2008 00.00.00;18/01/2008 00.00.00
8918;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;7;11/01/2008 00.00.00;11/01/2008 00.00.00;11/01/2008 00.00.00;;15/01/2008 00.00.00;15/01/2008 00.00.00;18/01/2008 00.00.00
8920;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;1;09/01/2008 00.00.00;11/01/2008 00.00.00;11/01/2008 00.00.00;;15/01/2008 00.00.00;15/01/2008 00.00.00;18/01/2008 00.00.00
8925;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;20;09/01/2008 00.00.00;11/01/2008 00.00.00;11/01/2008 00.00.00;;15/01/2008 00.00.00;15/01/2008 00.00.00;18/01/2008 00.00.00
8926;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;7;09/01/2008 00.00.00;11/01/2008 00.00.00;11/01/2008 00.00.00;;15/01/2008 00.00.00;15/01/2008 00.00.00;11/02/2008 00.00.00
8928;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;2;09/01/2008 00.00.00;11/01/2008 00.00.00;11/01/2008 00.00.00;;15/01/2008 00.00.00;15/01/2008 00.00.00;18/01/2008 00.00.00
7017;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;20;08/01/2008 00.00.00;09/01/2008 00.00.00;10/01/2008 00.00.00;;15/01/2008 00.00.00;15/01/2008 00.00.00;16/01/2008 00.00.00
51090;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;3;25/02/2008 00.00.00;27/02/2008 00.00.00;28/02/2008 00.00.00;;04/03/2008 00.00.00;04/03/2008 00.00.00;12/03/2008 00.00.00
51095;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;7;25/02/2008 00.00.00;27/02/2008 00.00.00;28/02/2008 00.00.00;;04/03/2008 00.00.00;04/03/2008 00.00.00;12/03/2008 00.00.00
51097;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;2;25/02/2008 00.00.00;27/02/2008 00.00.00;28/02/2008 00.00.00;;04/03/2008 00.00.00;04/03/2008 00.00.00;12/03/2008 00.00.00
51104;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;3;25/02/2008 00.00.00;27/02/2008 00.00.00;28/02/2008 00.00.00;;04/03/2008 00.00.00;04/03/2008 00.00.00;14/03/2008 00.00.00
51106;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;2;25/02/2008 00.00.00;27/02/2008 00.00.00;28/02/2008 00.00.00;;04/03/2008 00.00.00;04/03/2008 00.00.00;12/03/2008 00.00.00
51109;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;2;25/02/2008 00.00.00;27/02/2008 00.00.00;28/02/2008 00.00.00;;04/03/2008 00.00.00;04/03/2008 00.00.00;12/03/2008 00.00.00
51115;SANGUE;BOVINO;Brucellosi bovina e bufalina da B.abortus/melitensis (anticorpi);FdC;67;22/02/2008 00.00.00;27/02/2008 00.00.00;28/02/2008 00.00.00;;04/03/2008 00.00.00;04/03/2008 00.00.00;14/03/2008 00.00.00
